step,Path_0,Path_1,Path_2,Path_3,Path_4,Path_5,Path_6,Path_7,Path_8,Path_9,Path_10,Path_11,Path_12,Path_13,Path_14,Path_15,Path_16,Path_17,Path_18,Path_19,Path_20,Path_21,Path_22,Path_23,Path_24,Path_25,Path_26,Path_27,Path_28,Path_29,Path_30,Path_31,Path_32,Path_33,Path_34,Path_35,Path_36,Path_37,Path_38,Path_39,Path_40,Path_41,Path_42,Path_43,Path_44,Path_45,Path_46,Path_47,Path_48,Path_49,Path_50,Path_51,Path_52,Path_53,Path_54,Path_55,Path_56,Path_57,Path_58,Path_59,Path_60,Path_61,Path_62,Path_63,Path_64,Path_65,Path_66,Path_67,Path_68,Path_69,Path_70,Path_71,Path_72,Path_73,Path_74,Path_75,Path_76,Path_77,Path_78,Path_79,Path_80,Path_81,Path_82,Path_83,Path_84,Path_85,Path_86,Path_87,Path_88,Path_89,Path_90,Path_91,Path_92,Path_93,Path_94,Path_95,Path_96,Path_97,Path_98,Path_99,Path_100,Path_101,Path_102,Path_103,Path_104,Path_105,Path_106,Path_107,Path_108,Path_109,Path_110,Path_111,Path_112,Path_113,Path_114,Path_115,Path_116,Path_117,Path_118,Path_119,Path_120,Path_121,Path_122,Path_123,Path_124,Path_125,Path_126,Path_127,Path_128,Path_129,Path_130,Path_131,Path_132,Path_133,Path_134,Path_135,Path_136,Path_137,Path_138,Path_139,Path_140,Path_141,Path_142,Path_143,Path_144,Path_145,Path_146,Path_147,Path_148,Path_149,Path_150,Path_151,Path_152,Path_153,Path_154,Path_155,Path_156,Path_157,Path_158,Path_159,Path_160,Path_161,Path_162,Path_163,Path_164,Path_165,Path_166,Path_167,Path_168,Path_169,Path_170,Path_171,Path_172,Path_173,Path_174,Path_175,Path_176,Path_177,Path_178,Path_179,Path_180,Path_181,Path_182,Path_183,Path_184,Path_185,Path_186,Path_187,Path_188,Path_189,Path_190,Path_191,Path_192,Path_193,Path_194,Path_195,Path_196,Path_197,Path_198,Path_199
0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1,101.1149452,98.57020519,99.35660616,103.6663783,111.0003696,102.8730844,93.56168456,101.8707764,97.36025321,102.4703168,104.0057912,108.2050688,97.31869606,101.7036876,103.4838416,97.88787007,96.33737019,96.8515007,98.51556083,105.5607091,102.8359877,92.51288508,101.062685,92.92217598,103.4931709,97.81200282,103.0521556,98.3349605,98.74175333,96.24201645,99.76571263,107.0067384,104.3605688,96.25167237,102.1469943,100.9195641,102.3530552,112.7026541,95.35281883,102.367981,101.5146703,97.49440955,107.6285,105.1080248,108.1586235,97.62910412,100.7109629,101.7228378,98.89811112,97.94068026,103.2696809,105.5999039,96.31123204,96.87685011,99.64007968,95.22447801,98.86361111,98.8407344,98.17904723,90.95406347,100.2698283,99.80191946,92.22968728,92.89158864,103.3376814,89.97648833,103.0286629,101.8505934,99.64719349,99.15695748,103.8800369,102.0388591,104.6140348,108.815071,98.95528988,109.0460788,101.0061678,92.16440196,99.29558259,97.58077294,97.24407318,108.9447477,98.51204199,96.96768199,105.3268882,108.288607,104.3247544,102.7916838,95.13579468,103.7101699,96.89113816,108.9369863,105.2994155,103.9487255,99.50086833,99.2610736,99.87471593,101.5461859,99.64927989,95.46310852,87.6654194,105.499982,106.9181819,97.55780185,112.4835348,103.631362,104.5218537,109.7798347,104.504459,100.8152075,91.51379182,101.9352978,107.8817288,97.67712773,89.42490968,96.85189051,101.10007,107.7223226,105.8392645,103.3870219,111.927344,102.3753392,101.7552436,113.2910704,102.0296757,101.4886225,96.60139861,99.35545735,96.26348835,94.09896168,99.01101702,107.445803,100.5656827,104.2222411,105.02276,102.4554424,98.3410553,96.94721906,95.63133479,97.40140639,107.0857673,100.5960229,93.88917831,98.93996538,107.6295126,103.8332479,109.9250679,101.4009412,98.02823673,103.8778169,105.8122817,95.44812088,94.62577693,98.67908316,94.65000736,101.8819091,103.4739329,99.35337144,97.25920728,96.56023785,102.679721,105.538656,98.55523608,104.1014605,93.9189158,95.75134532,95.94180746,97.36424674,96.29530932,101.6790829,106.1372939,93.87228127,98.4131524,101.7879087,104.0650988,108.4043048,99.35422956,98.73071329,103.7203936,111.9197041,96.60587727,104.7947059,90.67542756,96.61668407,93.93862199,102.6959829,108.0749992,99.65142249,103.6776633,97.24744947,99.12151466,97.58910751,92.24871629,100.8275376,95.26050352,110.4499149,103.6917918,101.917304,106.6022802,108.9128938
2,96.95646784,94.75355515,98.72497205,104.2906655,111.2716673,102.4807334,100.2552347,100.6312277,100.0268539,108.3477558,104.7161927,106.1709515,99.45899028,100.5269359,107.8366445,99.89597297,98.4950252,94.2123153,101.1077765,109.1468729,94.93788871,85.25110905,102.1016819,84.27822098,101.5880552,100.5177766,110.8883338,101.6563578,101.9840546,100.30967,104.8226338,100.2294723,104.5513587,87.25092446,100.8081021,98.75235425,103.6433211,112.4932988,99.25481569,108.3113718,112.7456214,97.66646997,109.5516481,100.9855293,112.5885837,90.51903861,95.43305374,104.2527507,99.21631816,102.3239155,103.4042085,105.8713008,91.69561399,100.8485123,98.71002169,94.24354802,95.68349186,99.59279721,107.1846662,90.51301973,93.10683094,99.88478484,94.51057487,91.28609979,104.5659351,97.61014692,103.9008465,105.142825,84.32531,85.42698467,110.8639148,108.0343107,102.2279965,101.8232571,99.64846148,108.9851487,106.2731714,91.46065632,97.80305449,99.23853178,96.75615657,102.0223273,95.98161183,110.6889581,113.1847807,111.568364,104.5289177,91.45290885,90.33017154,100.3425868,104.7369517,107.9395742,102.475312,110.0726787,99.28283615,100.7333993,102.8174726,98.9743806,106.9116625,103.6766729,87.25539722,114.8486511,117.2446838,96.71176733,113.787084,108.1723081,106.5030365,110.4956,103.538677,98.35896909,89.96350431,105.0213056,106.2571494,87.32798002,95.06965036,102.7529809,100.9551986,111.467607,104.507538,108.3630566,109.360345,93.09993644,93.36168012,106.9853903,99.80973899,92.27978145,93.42296862,111.3682242,99.12544279,102.3254385,96.9664279,113.8225431,94.63015983,111.1487127,103.9874903,101.2352519,101.9640794,104.3149662,98.82643638,99.63059997,107.130925,99.41742634,95.3946989,102.4026907,101.6753499,105.5432013,113.2720263,96.13937558,94.94695451,104.4781275,107.4293299,92.88099807,96.38081394,83.9339236,94.31214963,104.5731391,104.3072227,95.2695486,94.12588492,89.95998737,103.2193819,107.1848857,99.50303555,98.64399591,91.47742093,101.3718372,96.94368349,92.4433499,100.1714995,101.9300741,106.1120695,91.88808862,101.1718474,95.36599814,106.9423322,116.5319911,112.2388815,109.4949171,100.6247035,110.6488373,96.25148936,100.2346882,92.63697331,95.77511204,90.07896435,100.9282722,109.9062927,101.0764381,107.0913371,89.82749588,106.6607775,95.36974651,90.99403927,102.9293975,94.50977494,105.5961519,111.4551949,106.7608987,99.58763279,108.6442018
3,92.59021166,90.5274834,104.0580331,99.53738209,119.0774157,111.4037834,103.1949341,105.5422165,96.10108145,113.4361378,112.9668599,100.0392996,107.0979634,107.6032728,108.3176839,101.285209,97.49341912,92.30263992,96.54721616,106.6931311,94.8428422,90.47805348,103.5419977,87.31013656,97.02836945,98.2127488,111.0569574,100.0716283,109.3385421,99.33839144,105.9144874,93.69490824,99.62917304,81.81698654,106.974705,107.0165809,110.3575631,110.4014803,104.8662582,106.9584739,106.7614215,97.67093693,104.9153169,111.6094709,106.9490288,95.90083447,97.27433835,109.2678249,94.2222778,101.6817841,100.2702038,103.6429261,87.59017459,101.7784431,102.2776412,106.4119054,101.371087,107.1282742,113.6846096,93.21371908,94.72180999,98.88261677,90.76373502,86.03611502,103.9915197,94.45979632,98.19449246,113.6975056,85.4391723,84.57432803,114.1457358,117.1303295,101.8874177,104.996687,99.58658549,105.1428128,112.6882332,85.1643272,105.7279761,96.20600962,98.17512712,101.8212218,100.2517162,103.4164716,112.5645249,114.8030086,102.7987477,85.10462672,94.90280445,99.65096108,104.5317653,106.283968,108.2462671,109.4011371,101.1706765,104.881894,107.0923065,99.1789861,103.574401,110.4154176,80.33933152,106.9691887,121.1171917,102.066779,111.8342997,113.5726813,106.0284504,110.6059575,104.8650605,92.38817646,94.16234973,115.9409621,107.0475016,86.67929415,97.30285422,103.1574324,93.03197927,117.7075894,115.0756892,105.3764859,100.839756,88.15492383,96.23833855,97.3454092,100.6222436,93.41871486,99.10880365,113.5857515,93.83616181,94.88322563,100.8142956,103.5183519,87.4577414,115.3879104,115.5056829,103.9583298,104.7186041,97.52849303,107.6819175,92.6309233,112.2629154,113.8561199,100.3024636,101.0632674,103.7433646,120.5451549,121.8965346,88.38922931,97.22725865,99.19218469,103.1444757,94.57321377,97.79466354,73.69324061,98.5651741,112.0420211,99.86981786,89.38468479,96.80817386,94.0867012,106.7874855,114.1992611,98.73043863,103.1997952,104.2143472,91.90057527,99.5424028,93.38836474,106.3118785,96.68096863,109.8744984,84.44244812,98.53404823,90.16412892,106.9852294,115.1664984,118.4898948,103.5765876,104.9153751,111.7103197,107.2804849,99.00897341,95.8004889,100.1492812,96.62530133,99.73410844,102.6206438,110.8228887,112.5829437,88.05082429,113.8960696,100.4188758,85.20206364,107.7755274,96.805706,104.6943467,124.9753791,106.8209394,102.5867524,105.5574366
4,93.13065475,90.29612038,99.0816207,98.70007395,116.8970999,127.1834442,99.74360602,106.1727016,98.43077351,111.7155725,114.5241021,101.5146294,101.650215,107.9553638,116.1034558,99.08385445,102.7916075,94.14334056,89.63883879,93.60576487,90.6035194,85.17848105,104.6923677,91.88887426,90.69578276,94.25493659,111.1985816,97.5844204,101.4642967,115.5233948,118.4616323,87.09555067,92.16776351,86.4318482,107.6875695,99.69344765,108.2478078,114.6092174,108.6809049,103.4893312,108.5135045,100.1751102,111.4500791,113.8233486,111.6635739,94.32399305,93.44833003,119.7627518,94.8154507,98.21743413,100.5587596,95.94518885,94.30839782,96.45717439,100.7124823,109.6454247,107.8805022,116.1211437,110.6303537,97.56662621,86.87153092,100.0889024,94.56177381,94.68067124,99.05679103,102.2940882,95.98541833,111.3005603,82.24246456,78.99099019,120.6887776,110.5711206,96.34864596,99.79372577,94.60884034,102.4158526,111.5534712,78.88862089,113.8177705,100.5863355,91.21979891,103.468765,94.05479692,94.9525318,113.1240425,114.270187,105.4317645,83.59026861,95.91957361,97.60880815,107.3630142,106.9850721,112.5724925,102.2144111,106.960906,102.7499292,107.8199593,102.4102972,101.2236522,114.3735055,78.42810158,117.5135615,128.8144597,102.5185879,101.2782683,117.4342307,113.1009199,117.0841821,97.85789037,95.06073621,95.53088416,117.5592494,108.2793789,86.07170238,97.18907649,111.5794441,93.4422814,107.4847546,126.723961,103.7945627,104.8555586,89.71406361,103.9615756,98.09777552,100.6909416,87.98303566,94.72707966,102.6352509,96.79999377,105.3850634,95.5505382,102.8353424,83.80863163,116.3309155,124.9110377,108.6611917,99.95996711,94.9873244,108.5966129,95.52086238,118.8851126,112.0646263,102.0816077,98.14393668,98.54996072,122.6623679,122.7079055,89.46678458,95.22609354,103.5720036,112.2409383,94.67334797,95.01340512,78.12870689,97.39739467,111.0332455,98.63660301,97.7211758,90.62759519,91.44591461,112.457987,110.5004025,97.20256269,108.5108653,117.0041302,93.32932373,98.8042376,95.25874239,106.929611,100.4196724,121.0351017,86.28418419,97.82109795,90.54146968,108.2482881,115.5772598,111.1796236,105.5674028,97.60164242,112.5621906,98.93118173,102.1686801,94.38645626,99.71988348,101.4757804,97.77562287,97.94062349,112.8083164,113.2786931,99.14652229,128.6687571,101.6526882,86.1996367,104.4315474,94.54330164,103.4769601,124.8145048,113.2843453,108.4121873,106.0527804
5,100.5165469,87.03197556,92.83803032,94.05522592,115.3026195,116.4097832,98.35315986,107.2030494,94.55151831,110.0104883,109.4323216,104.1112075,94.5235301,104.2479784,126.047964,90.02817026,103.2131375,92.78009174,93.44133623,99.59812727,87.23807501,78.92568108,104.4292124,93.51482897,92.49785923,95.46036437,100.6859048,100.9365206,104.794281,109.5033558,125.4202174,92.98405082,91.77809112,83.88880075,116.5593458,106.3834205,107.9539778,104.1985384,106.4877551,107.500787,100.7752428,99.71304877,109.7996514,109.5004133,107.7784165,91.86560442,89.43180676,113.7399031,92.46711901,97.57438059,97.84001898,86.12173615,87.75420169,93.85544399,99.75140538,104.773999,114.5521238,122.6373534,111.5968947,93.59300255,87.5311539,106.0637934,92.25256605,99.55000637,107.7347888,105.5476349,91.06593763,116.360237,88.96372785,81.21997449,126.8314209,97.9395262,105.0202128,104.0048264,88.74660803,98.85386072,118.7913121,84.37698811,108.4171218,106.1190006,92.47753856,109.4827405,101.1152164,96.70313739,113.5776703,119.4276304,109.9209043,80.1745253,105.6399731,101.2854672,106.2365944,108.9867232,112.7729347,101.120297,101.3337462,105.0347236,103.2596744,100.6582227,97.48932357,106.4781565,84.13636521,118.9392325,124.5263561,105.0333938,103.251152,121.5115028,115.7903735,108.9450149,101.416933,90.63314162,96.24245852,123.144364,116.2446605,90.30277973,101.485236,111.016628,97.25685522,114.9121577,113.588169,101.6862156,107.0017777,91.38779042,102.3519392,99.32848907,114.2200866,84.1281478,89.03830461,106.0688717,95.09046792,109.024843,101.9853406,108.9180705,84.78326724,122.8170546,122.9269117,104.5279367,106.9909492,92.12524074,109.1176325,97.33583712,118.4252131,110.7570105,99.57388281,107.7630127,91.29067163,136.5267794,119.9257709,86.38432169,93.57716973,110.420446,108.9064111,96.02079243,95.15166587,78.42616782,99.52743395,103.6378226,98.39516794,104.7970184,93.18750389,96.35227643,113.7424206,108.0138164,100.2275752,102.6005379,107.4556049,94.48825239,95.66382105,92.97329547,114.236728,94.15198548,116.6652642,87.88000307,96.85518695,89.69744105,113.6089632,105.6039771,109.2227223,111.0436886,90.17549438,119.6720686,95.93424475,97.32400575,90.00741705,99.15077205,109.0479671,106.1077797,106.2721935,113.0756088,118.9177012,97.93205457,120.496673,100.0658645,80.79762292,96.62676861,97.77326824,113.7562506,130.1573769,118.043928,119.0077395,102.7886468
6,106.1949948,86.18737497,100.0737406,92.17807498,123.2849937,115.6695439,95.34043548,113.2981882,94.98774942,114.9411748,105.1582261,103.6753134,96.02294363,111.0799472,122.0813175,98.04604705,107.4170104,99.87221332,90.73652718,97.33367121,84.46384924,82.47008932,98.17201282,92.51680765,98.47784592,100.6676566,98.17797133,112.3091337,102.2607882,111.5178079,118.4498505,99.72739709,84.5382228,87.59662596,122.1773245,108.1331311,108.5294144,113.3462949,98.09264241,99.04040762,100.6701435,99.58602644,114.9621952,109.9148575,111.3383896,85.87980144,84.26605065,100.3113266,89.04818669,89.42744212,92.64310484,90.38293873,91.16562334,89.9349723,96.36801381,101.9309144,110.1211747,132.103145,114.3275079,101.5008776,93.26234069,109.8990437,89.52362004,108.4997761,115.4401766,104.1945671,93.28503457,127.4874813,88.18548643,83.30172499,129.6147176,101.4777636,109.4137397,106.8100437,86.34321852,108.4727134,117.4842976,88.3655365,103.8162141,109.5247356,96.93123142,112.136609,96.44172651,92.79288286,105.6887936,119.6310304,97.80097966,79.00946945,99.27358978,92.51933446,107.4315105,114.3299875,115.8688717,103.4241401,107.6129715,111.3489456,100.0848434,108.5525166,91.04203866,111.335511,93.32159372,121.6596166,132.7950834,101.6660261,102.3949783,113.2554851,109.2570687,105.7803843,113.9872805,101.9133955,101.3276343,123.5597007,117.4589684,81.34929682,107.641483,114.5892126,101.7816849,108.4469267,119.0169805,116.5301167,109.2609021,92.05559317,99.02222873,101.0716198,112.9630014,83.86967483,85.99841005,107.5621684,92.85709713,113.2701177,104.0857927,104.4699559,84.60280149,120.5919293,129.0511018,98.83374538,104.3353616,97.95471421,116.3861991,90.04590647,108.7862942,106.6094479,109.5484806,96.40943909,93.91417061,138.4852286,127.4195223,86.81281134,92.43108737,116.2495989,111.6922301,95.56290411,100.0554638,85.33418222,97.67007302,111.3233025,101.0265408,112.8188228,100.7381286,103.5375798,116.4871333,111.4520863,89.53061334,106.431974,110.0742542,96.10352291,97.15690587,94.51024627,106.713187,87.72353255,117.9696796,87.15620238,98.05644114,99.71769763,113.473991,106.2267886,98.28003364,113.6672329,95.02391585,121.7047598,99.96072505,102.4493671,89.02881048,100.7277084,112.7441523,107.0797335,102.289317,105.7390761,110.7809502,96.15679895,122.896647,104.4543318,76.23121993,101.8073986,111.4356821,109.0169164,132.9507064,115.0097198,123.2599912,99.68766968
7,121.8053721,90.93077478,99.18478368,93.21179126,120.8963017,120.1479348,98.60822477,102.7127386,90.59054203,108.895164,95.68203977,106.9461584,97.51495503,119.7785323,124.3531813,98.76098031,99.31909869,105.5658438,88.46633632,98.31181128,82.66649695,85.52209368,99.72765856,85.74523423,95.41077125,99.44145891,94.6831509,128.5546039,112.0622521,117.4253957,109.8574553,110.5483739,88.55291957,99.31448988,136.1128106,116.4708436,111.2032148,119.7013324,105.6525085,102.0054132,105.4605331,96.77202313,108.7266363,111.10444,105.0002937,90.1268442,81.84919672,101.5466526,96.49252594,91.80637272,83.84113577,86.30391081,90.35723316,92.23088844,95.04764081,101.4923964,105.5530409,141.0475741,115.4515895,99.88268935,86.8646348,115.0717632,86.72652906,107.5463095,114.6446277,101.5955381,85.49002622,116.6124408,83.87753793,84.39391614,130.1549709,102.9458139,112.5631456,109.3888976,94.1412109,115.3474013,111.964921,99.06941402,101.8965788,122.6942933,94.43590774,102.187917,97.04755819,89.62345988,111.9864905,118.5806317,106.5445077,79.65507411,106.3777987,92.25741528,107.7085846,113.4990187,118.3251155,102.4723784,113.0171654,111.2081032,90.87178708,107.019765,91.5600463,116.6925232,96.31805059,127.5499475,125.783318,102.6942629,102.0104892,112.2793005,105.0439435,111.8308972,107.6681179,101.280942,105.8484641,121.7719738,125.9760538,82.98904068,112.42991,126.576836,105.1162673,125.1455738,125.9395479,115.8727644,110.9989054,89.71612647,99.65337275,100.0361944,100.559047,80.04704256,83.00001848,100.3791898,88.90103568,117.8360407,111.5915369,107.0184564,91.03065031,117.3414467,128.7432561,93.96751648,96.25429036,99.91816798,136.3671411,96.07276907,107.2037575,108.683002,102.784957,92.50008337,95.03951354,139.9104529,136.7189567,86.99314291,96.73391091,115.0453515,124.3951178,102.6325519,97.52344334,77.75542972,99.13964745,114.8523186,108.2622963,116.5867405,97.75991974,96.40101878,128.9171435,101.0796723,91.92591081,108.0164692,102.2355415,90.88088615,94.39922998,84.70983282,101.6293928,92.67457216,123.0315385,83.80785283,94.4027349,100.7359598,114.7472534,115.6392125,98.8407256,110.7798979,95.78499366,132.2618839,98.81614286,102.3729971,93.72135063,100.2318099,111.7648573,111.6127032,97.96636842,114.2852354,111.1099961,98.71846888,127.5964284,100.5941386,82.00111185,102.6228721,114.9621824,109.5266157,131.1030345,112.7982411,118.3756801,104.5076885
8,119.4525223,93.64036231,93.75472979,91.47753289,120.5467412,118.9770307,94.9092408,108.1583493,91.22992322,107.4965718,110.1354348,104.2179387,96.55746855,124.630404,130.4250308,99.52598556,96.5265285,105.9392803,86.29754675,105.986729,87.67054621,84.76470277,100.8947678,84.21168485,97.14491011,103.4854195,103.5663965,132.1224445,114.5869212,115.4261113,119.7426988,104.090224,85.1117465,98.3947321,136.4899825,112.1533402,103.0019328,119.8902268,108.1235824,100.4337676,98.80079082,90.012616,102.9120594,112.1774991,109.0101711,94.37743717,84.96735118,106.414249,97.13418681,99.93876224,82.62050704,85.05924562,83.68880524,90.33129524,86.79698122,99.04235182,104.9422416,133.0998376,113.2191776,103.5888706,88.46891823,113.3681937,84.13301909,117.2401255,113.6094027,100.6036913,81.76891892,123.140223,85.81448877,92.94268001,144.6786202,106.9064659,117.6001464,122.702605,94.72589358,122.8826087,110.2124891,94.80763045,103.9278906,112.6644125,104.5440896,105.5642543,94.84865926,86.61998242,120.3089071,128.8944879,119.1755332,87.50589604,110.1583516,91.37488886,110.2032651,113.8513219,132.8446718,96.74709868,97.70202061,112.2940501,86.03312163,114.6979644,87.69398756,133.1121493,90.51337403,117.9668756,113.0431092,100.5672195,102.0977341,116.4172257,106.4508919,106.5673648,110.6676029,101.627504,108.4302558,120.0138179,119.4179216,82.07880805,111.9598852,133.8162866,93.04542917,116.2335149,115.5442889,107.6152439,119.0124795,89.05278406,102.8182922,101.6649991,97.75432928,75.78993764,86.28934442,99.18477367,93.90862462,119.2448993,116.727726,110.5077431,99.70074884,119.6486304,125.622315,95.22788613,95.74502201,105.9909768,125.898223,97.82245675,111.0076859,115.4864659,102.1808677,98.11047373,96.98719085,134.8773787,146.1190605,84.82686682,101.2580681,113.8508024,125.8222443,102.8978639,90.86811939,80.49457643,91.67730405,115.7429501,107.8858685,114.5048699,102.1514291,96.0420881,133.7708698,105.9219905,94.98728264,121.7236767,98.77225,93.89934096,98.47639695,89.19866434,104.3507715,99.82359291,122.4486755,80.44830564,100.3354428,110.4668413,120.7257581,109.5620762,111.8882195,113.6678749,100.9287956,131.3795218,100.2897778,110.2239379,98.51197984,102.9202496,103.96499,111.5310585,92.41109656,110.0913078,111.9042043,100.0119609,114.2277001,101.619099,79.66162245,100.6873043,118.2396919,99.55247321,132.4453495,118.1888386,118.1000846,102.8017909
9,133.9121798,86.03810517,90.93187641,93.75233755,126.5489885,110.9332493,90.4407764,109.1052559,89.68089331,104.7646586,114.6476911,99.60772351,99.88094702,122.8612374,135.2795095,96.77837888,99.72701106,98.6663257,94.02966026,115.3891795,80.38025008,78.25252821,105.0344016,86.1051879,98.67586764,102.2082065,112.5999934,118.6894544,110.5982881,131.1649095,124.1617037,103.8820004,84.32668073,103.3488593,130.0081175,110.5937372,104.9680581,124.3823992,103.6323247,95.0161931,108.1905566,90.75972621,105.4349762,109.3012719,108.7903434,98.132623,81.80917834,106.3887852,88.1469877,98.75755604,77.38999893,87.60983195,85.71041932,92.15469519,84.95512011,111.2905096,107.1134069,137.3777666,114.2719326,108.5516775,90.92049286,105.5308073,84.88692118,118.9850416,110.4565623,104.3615564,83.75177064,112.0806,80.120072,82.44469195,159.5140744,103.6104558,112.5344714,122.2707547,92.70545681,129.2607109,112.1861866,99.17118743,105.9414939,117.0566005,109.3124382,113.3931872,102.9620359,90.47890717,114.6610243,129.7496706,117.7564428,90.22170934,106.7591427,91.4940822,111.9859095,117.7512306,147.5013148,93.27597676,95.66183375,109.6672518,79.99748642,118.0288885,90.39065152,126.7410112,88.18838856,122.0133581,113.4067336,98.02390074,102.1795518,116.9222955,98.61072699,104.0218707,114.9494396,106.1360148,106.8747233,124.8868427,108.7597873,87.00312901,102.3975041,136.8783323,98.63735928,130.4363797,111.315048,112.7912621,120.789756,91.72904892,99.31021054,95.73926712,91.18487844,76.02943765,87.93665003,97.01346797,98.33300964,121.9512715,125.6127978,115.345294,98.99912885,120.3184859,121.8439639,94.07319216,89.68776647,100.5106501,130.1974716,95.15811075,110.558166,109.4527247,97.17972798,99.1977157,93.97320535,134.9044288,144.7849284,83.32351836,100.6400967,111.8126374,122.8811801,106.807848,89.14922839,77.00640579,104.6062669,122.0835514,110.7105239,127.3839578,97.40940572,95.03694281,125.2981523,113.1182458,98.63937474,117.9296915,105.4159985,94.12212133,101.1450271,93.02277805,98.11358822,86.81144069,130.3130835,82.27784914,107.6222723,99.71683622,115.2321806,106.1924595,113.0480047,111.6457965,105.5114103,135.785359,101.6842105,108.2265188,111.2577061,97.10772202,107.2018959,106.9335052,79.44507089,113.6205758,120.8661307,102.6653991,116.8389115,108.0643595,81.32798894,105.7572235,135.3227015,105.6207061,133.525471,109.8855904,115.3281574,97.71922976
