step,Path_0,Path_1,Path_2,Path_3,Path_4,Path_5,Path_6,Path_7,Path_8,Path_9,Path_10,Path_11,Path_12,Path_13,Path_14,Path_15,Path_16,Path_17,Path_18,Path_19,Path_20,Path_21,Path_22,Path_23,Path_24,Path_25,Path_26,Path_27,Path_28,Path_29,Path_30,Path_31,Path_32,Path_33,Path_34,Path_35,Path_36,Path_37,Path_38,Path_39,Path_40,Path_41,Path_42,Path_43,Path_44,Path_45,Path_46,Path_47,Path_48,Path_49,Path_50,Path_51,Path_52,Path_53,Path_54,Path_55,Path_56,Path_57,Path_58,Path_59,Path_60,Path_61,Path_62,Path_63,Path_64,Path_65,Path_66,Path_67,Path_68,Path_69,Path_70,Path_71,Path_72,Path_73,Path_74,Path_75,Path_76,Path_77,Path_78,Path_79,Path_80,Path_81,Path_82,Path_83,Path_84,Path_85,Path_86,Path_87,Path_88,Path_89,Path_90,Path_91,Path_92,Path_93,Path_94,Path_95,Path_96,Path_97,Path_98,Path_99,Path_100,Path_101,Path_102,Path_103,Path_104,Path_105,Path_106,Path_107,Path_108,Path_109,Path_110,Path_111,Path_112,Path_113,Path_114,Path_115,Path_116,Path_117,Path_118,Path_119,Path_120,Path_121,Path_122,Path_123,Path_124,Path_125,Path_126,Path_127,Path_128,Path_129,Path_130,Path_131,Path_132,Path_133,Path_134,Path_135,Path_136,Path_137,Path_138,Path_139,Path_140,Path_141,Path_142,Path_143,Path_144,Path_145,Path_146,Path_147,Path_148,Path_149,Path_150,Path_151,Path_152,Path_153,Path_154,Path_155,Path_156,Path_157,Path_158,Path_159,Path_160,Path_161,Path_162,Path_163,Path_164,Path_165,Path_166,Path_167,Path_168,Path_169,Path_170,Path_171,Path_172,Path_173,Path_174,Path_175,Path_176,Path_177,Path_178,Path_179,Path_180,Path_181,Path_182,Path_183,Path_184,Path_185,Path_186,Path_187,Path_188,Path_189,Path_190,Path_191,Path_192,Path_193,Path_194,Path_195,Path_196,Path_197,Path_198,Path_199
0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1,100.8773882,100.3686409,98.28332951,99.01874307,98.7263778,99.79495325,100.1981152,101.7624497,101.6333841,99.74178721,98.3463534,101.1588667,100.3010518,98.7835671,99.14505663,100.9345321,98.5409521,98.09511479,99.38979463,99.84138189,99.43098285,100.7917601,97.41620194,99.52119474,101.4248053,101.0024757,100.4599207,96.79859293,100.8995966,100.4456285,98.07609324,101.3385405,100.9294712,99.92021905,100.6196274,99.58239983,99.41144613,101.8089497,98.14295365,100.1154434,98.16562889,99.63494591,99.08855709,101.9221236,99.72359243,100.6766068,98.83264879,100.8234201,101.6306797,98.96746137,98.63314868,101.0486843,97.74498938,99.3424685,100.8113378,99.79099993,99.96023268,99.44757152,99.75763398,100.3491706,97.78014216,99.29750827,99.48338126,99.66852834,99.06194825,100.084296,98.99539443,100.1836541,102.5004482,100.0266879,100.8019122,99.68246657,98.54223108,101.1954144,98.98694203,98.45985265,100.9223227,98.78969904,103.0651048,98.26770585,101.41778,98.09479108,99.02571135,100.5881319,98.35547055,100.8031916,98.52883848,99.55121808,100.3100039,100.9099547,98.80367095,100.8235004,99.38616842,99.04228598,98.7841077,99.51488002,99.33664565,99.41435207,100.3260248,99.96092895,102.1379666,100.1062592,100.7627667,100.0566736,102.1272638,101.9806714,99.62841742,100.3858628,98.74155592,99.54874227,98.2478543,98.64397963,98.932766,100.0633272,97.71575813,99.09570555,98.83760955,100.3306109,99.5979114,99.64062302,101.8212721,100.1224095,102.2969363,102.2265822,101.0222342,100.2748492,99.9047274,98.94912177,99.67032322,99.25708172,100.0606216,99.86923437,100.0950521,100.9687408,99.85222708,100.0171205,100.1077192,99.65857999,102.2887722,100.0029419,101.1093734,98.84290373,98.52642937,99.02989395,102.1584995,99.27919392,100.604114,99.46030404,99.34870205,101.6690562,101.4547999,98.91423809,100.3884514,101.1629828,99.87987206,101.3497761,101.0795913,100.8617748,101.5384195,99.54926013,101.4944971,101.6422876,97.77222389,99.68488997,98.75596561,100.4260494,99.40763384,99.97925784,99.41950328,100.5764477,98.89753752,99.05164646,98.32950043,100.8711781,100.2323279,100.7451061,98.17968784,99.3145677,99.78419301,100.4652954,100.4823267,100.1320097,100.3989145,97.98214862,98.82873567,101.1347994,99.30255537,100.7659276,99.39534652,99.6594685,99.04626528,99.31555527,98.81870623,100.5556447,99.17126993,101.286797,98.2083137,100.0176682,99.95927193,98.97796144
2,101.6936388,99.73688767,97.66904152,100.0309465,100.761695,101.1698708,98.56671856,101.1809158,101.7498888,101.0262359,97.72933535,100.7386822,100.3908099,98.57469676,101.7188425,99.87191459,101.136096,98.99167436,99.96427163,99.67655525,100.9430497,100.3414675,97.33552854,99.51588892,100.941132,100.1921558,100.4371629,99.48164816,101.7248363,99.68208603,97.85012972,103.1342373,100.0488693,99.24509223,99.05610142,99.38183931,98.1688539,100.6611759,94.75512862,101.1469128,97.65699353,99.1533309,100.0757222,101.2793265,100.7190022,100.8473654,97.38500972,100.3575257,103.4120911,100.5016306,97.97527684,101.4574642,97.48452562,99.02209882,101.9531396,100.1037862,102.146415,100.5231456,98.07611901,100.0091834,97.025613,98.77533521,100.6910499,99.62113742,99.88549931,97.5631497,98.31725277,102.1273468,103.5918869,99.7130293,100.8053809,98.76168556,100.6589655,102.3883168,98.89041811,100.0633857,102.4407321,99.99396205,104.3473287,98.62982081,102.5041769,99.23971996,98.48498191,101.5333542,99.12202229,101.7453029,99.54570395,100.1468897,98.78200704,100.752834,98.51058756,99.13098871,99.80516415,98.94414231,99.85007255,99.62604068,98.74130159,99.49784061,100.5457908,98.27416793,101.3047935,101.4973515,101.5697663,97.14973477,102.1645306,103.2010377,96.89568435,102.7625286,99.95011853,101.4539231,98.01869095,99.67562337,98.85906323,100.4256631,98.59271378,98.06054685,98.40770998,100.1205002,98.9847778,100.4109541,101.9071314,100.8624454,102.0188061,99.95317941,100.3397853,99.39369604,100.4269103,98.38337059,98.96261367,98.47339791,96.68506945,101.0351481,98.18330696,99.94007823,99.54984476,99.54472635,101.7042392,99.28773255,102.9210472,100.0710664,103.746466,100.3121806,97.30166829,97.96774002,103.0168653,98.82239454,100.8817952,97.59244195,99.29168115,101.3228012,100.5526036,97.99023738,100.2645018,101.639995,98.49926779,101.987815,99.73150282,101.2742592,100.6775386,99.82559865,100.7226461,100.767125,96.897947,98.57465514,99.6159805,99.85628857,101.381715,101.2617064,99.04781382,98.87353839,99.61577186,98.41222063,97.28467078,101.3463624,99.32523399,100.6439313,98.00187164,99.73213351,100.8843459,101.8485427,99.51631502,99.14481512,99.82776185,97.36955481,98.25856003,100.1988851,99.03055677,100.153913,101.5069957,100.5038841,99.94212971,100.8855563,99.2135386,99.18266868,98.6214035,100.9393358,99.56951405,98.74090587,99.08884753,99.0883073
3,101.8956759,99.90175284,97.69876572,100.9637556,98.98391809,101.3204894,99.71844433,100.4640042,98.34399804,100.4910015,98.62069415,101.8630559,100.1227103,98.59538394,101.1162816,100.6787819,101.9963377,99.07120853,98.74210308,98.9243892,99.89856091,99.17120607,96.82675642,99.36280045,100.3499908,100.1683301,99.54456271,100.3647487,101.431083,100.722468,98.11916278,102.9774307,99.62726264,100.0235352,98.4435857,101.5964489,100.3028554,102.600223,94.12146748,102.2510875,97.27256709,99.25926648,100.0796307,101.6602832,101.8410644,102.4238545,96.45254695,100.8715873,102.3439696,100.1268582,97.8375128,101.4782906,97.38911761,98.47643042,101.5815171,101.0121346,101.8162939,100.5637119,98.3246743,98.07080759,97.63699414,98.7973165,98.98095082,99.57962047,97.92612865,97.30444997,99.49347246,101.1531331,104.7303349,98.42250286,101.0615553,98.85231657,100.3827773,103.0370409,98.56557894,102.1079524,101.3834262,98.51049155,104.2706173,98.75494308,101.0052522,97.98173405,97.80056766,100.9030857,99.13554254,102.8313379,101.6911432,98.0897034,99.39395191,99.24736713,99.04233041,100.7763802,98.16761417,99.39566745,100.5528841,100.2320073,97.83295704,99.82694447,99.46192648,97.71469039,99.60398123,100.7267589,103.5406807,96.45461763,103.6163779,105.6477565,97.26124174,102.3311004,100.210234,100.9217521,97.20396,99.32586707,99.64769884,100.8064866,96.83141229,98.12781543,99.18229284,102.1003395,98.93662326,101.9930839,99.87286747,99.49656023,102.2316303,101.2505243,101.6976192,101.6566067,100.1598825,98.73074551,98.85196692,96.98764029,98.13384221,102.3943158,97.7916879,100.4439052,98.62087491,98.85338219,100.4462142,97.40585096,102.2018879,98.92325881,102.5918725,101.4577538,97.49584448,97.35744467,102.6465195,96.45445975,102.3566914,98.39882883,98.4477918,100.8737034,100.6547528,98.74273759,100.1948797,101.5733687,98.27626923,102.8788057,100.9570258,101.1025164,99.71652369,101.7942468,100.9631166,103.2807773,97.20277812,98.68878368,97.86177394,99.61109357,101.5828503,100.2663388,100.6966721,100.0866124,99.33940076,97.19086649,97.04058059,101.0451195,97.32326936,103.0635597,97.60051564,100.0681038,100.3218626,104.3009183,98.6367811,99.58449258,99.75846993,95.27770647,98.19288606,102.8849338,98.13697918,100.3442434,101.3484629,100.1580765,100.5713451,101.296741,99.59320609,98.30627403,98.28456781,103.9225754,100.5184927,98.44674955,100.0747554,100.4128201
4,103.1034611,100.3434824,95.99918868,103.6680715,99.4170133,102.1359073,101.0808284,101.2328993,98.26316723,100.392649,99.71005639,103.2227582,99.17512117,97.22707739,99.69208726,100.7703942,101.142355,99.72280761,99.16041632,100.0218631,101.0070557,98.46093722,97.27247364,100.1616832,99.642489,99.26349132,100.7642998,100.9869669,101.307709,98.87459112,98.77268136,102.9440902,99.56254309,99.61117704,97.06774672,100.4881597,99.67003172,102.3124433,95.40921299,101.1215947,97.87713047,97.77728155,100.3849012,101.6395643,100.7885346,103.758943,97.53632627,102.9188158,101.2769364,99.52875943,96.3824273,101.3544406,99.35394238,97.19461956,104.656135,102.4881068,101.6248935,97.6916387,98.99796212,95.67971074,98.53864727,98.79295782,96.23346821,98.32606362,98.43915418,96.60136601,100.0678557,102.9375967,104.1697569,98.0975692,100.4520721,100.2212666,100.2500374,102.4632263,96.98840873,101.7580549,99.4131049,96.82844237,104.7127666,98.77920693,100.0202991,98.3839585,97.22061258,99.68184993,98.24335311,103.6049634,102.0640106,99.89948755,100.8071497,97.87709207,99.38939054,100.3221259,98.51034826,99.31036481,99.67210547,100.8516576,97.93885882,99.48005019,99.67530357,95.95984441,96.7265411,101.8063259,105.2869146,97.49498299,103.3380491,105.4145226,97.72154984,101.7933514,100.1625919,99.99762349,96.30479109,98.32845279,100.0561378,101.7268722,98.05555371,97.19241811,98.45411629,101.2266991,98.2467664,102.0572977,102.1926609,101.7766091,102.0984014,102.3777892,101.6943789,103.2047875,100.4043488,100.3237057,98.46676086,96.04482619,96.58930049,102.5467207,97.54324744,99.46570362,98.77650931,99.04628536,100.138141,97.18572214,102.2402079,99.68434422,102.7408326,101.6355393,95.27247003,96.51060921,105.4551988,97.11457942,103.063646,98.27145817,97.38089673,101.9140714,99.766986,98.79629426,100.9298705,102.7234372,97.43300278,102.3904828,101.4531191,101.2904474,99.92092501,102.5017827,100.3926822,105.1920981,97.10324152,97.84262253,96.87775606,98.71789089,101.9513854,101.7582776,99.28689652,99.33786452,98.58926278,96.10843869,96.63856668,99.92798472,98.94669177,103.4160362,97.23251674,100.4607544,102.0094245,106.4348413,98.91411968,101.4330195,100.9364874,94.77219211,98.03202341,104.377145,99.86649533,99.72021091,101.7867634,97.59383828,100.5246682,103.7044321,98.50826215,96.88202293,99.14609185,101.9879156,98.92259403,98.25139456,99.60216216,101.6671814
5,101.9714301,99.9499586,97.41370478,104.085326,100.0292055,100.4539575,103.0057774,102.5914187,98.62724843,100.9678795,101.0802248,104.1955451,98.78222418,97.24055697,101.4127127,99.60117811,100.8105218,99.45325417,98.83895233,101.2766949,99.93996901,98.75618762,96.86524962,99.06613505,98.38146403,101.7340536,100.1886672,99.89920835,100.1637069,98.0483358,97.84345889,101.3844265,101.5218354,99.41664016,97.13785626,101.5583074,99.07747549,103.2712235,96.56434985,101.2943199,98.66074545,98.41755763,99.60551335,100.7118796,99.63685578,102.6941701,96.83294455,103.0228345,100.943224,99.50225061,95.73128788,101.3264648,98.87769431,95.60534813,105.7091102,102.704661,101.6355777,98.85002292,98.05509705,94.48521268,99.8675589,99.36650987,96.91270582,96.47815093,97.78955981,94.43481502,100.0065233,100.9261841,104.7851156,97.61266057,101.316078,99.30552194,100.9092477,104.446108,97.55422769,102.0137734,101.0786833,96.30916273,104.8866577,97.9544196,98.26641557,97.78401647,97.04002705,97.86175718,98.00147683,106.317774,101.4002096,99.1574951,99.63985478,98.21492529,101.0978132,101.7894618,102.0348379,101.3715033,101.1718751,103.3513873,100.2086293,98.49714488,99.30410773,94.8712081,97.2402381,101.9859504,106.8653048,98.34499021,104.0252112,106.0291994,97.97841457,102.8227497,99.96911807,99.16052904,97.3566559,96.86135585,101.3377765,102.6269625,98.54678049,98.39108988,98.53227188,101.6054728,98.73792938,101.6097971,103.8146006,100.9401967,101.1528872,102.1625667,101.6015157,102.1363046,101.6502719,100.3805203,97.82810091,96.02939554,95.48131457,102.7497871,98.10619542,98.19705298,97.59450656,100.767544,100.4912802,96.52522868,100.9448492,99.38486868,103.2293189,101.8099661,96.08370542,97.41585906,104.4512729,96.57431505,103.5564685,98.53609791,96.08239349,101.2050968,100.1361024,98.47227024,100.6302734,103.0689123,97.24048552,103.351307,101.9230887,103.8196951,98.88111024,99.97139428,101.7077654,103.7841509,96.0501461,99.05879416,97.99504203,97.38941184,102.2015612,100.7337474,98.84964462,99.20541073,100.0991503,95.23331442,95.71441049,100.2646425,100.2006237,104.8507386,96.52570278,100.781982,100.159221,106.2844851,99.09452902,100.4612474,99.28393713,93.38603533,95.88640191,104.013044,100.2688963,100.6421828,104.2743596,97.77744808,101.5576293,104.7763436,97.83197092,99.74999063,99.93359314,103.8757464,98.95702891,97.76765769,98.60041115,102.8516398
6,103.2217876,99.29982951,95.72509129,103.4400792,100.0537051,102.4225066,99.77138387,103.0238534,97.98427752,99.94138502,100.7471185,105.3084313,99.37077251,96.10963137,102.100517,98.01341233,100.010291,100.7542075,100.3916636,100.440293,100.7829722,99.25172075,97.9978498,99.62991919,96.85461963,101.1385827,100.5801713,99.14703665,99.75675029,96.72636907,98.76738277,101.8842384,101.468337,98.01043038,96.30264575,100.2398157,99.32548101,102.8913721,96.08512253,100.8268156,97.87999007,99.43306373,99.02451026,99.70719038,97.91748251,100.4222679,97.87164585,102.7580305,102.0785374,101.4466085,97.89874866,101.5664489,98.40892667,95.65642589,105.4585061,101.1434902,103.471544,99.95068515,97.98340999,94.94169057,100.4533322,100.6805392,98.17848851,94.92330831,97.99566312,94.22633692,100.9647774,101.5245764,104.2382082,97.44957399,100.5440429,99.19580813,100.8974761,103.6965257,96.75767703,103.0875197,102.0758889,95.26398461,103.7049709,99.31687488,96.30460511,97.1457897,97.04779416,98.71340209,98.6160566,107.4504069,102.4448069,97.94486311,99.31834424,97.56336908,99.73007401,102.2005291,100.9467901,99.9826585,103.4167563,102.0854933,101.3381461,99.68171157,98.91128738,94.78322498,94.88871034,101.6894298,106.6512095,99.19082506,101.4868564,106.7567868,96.75315419,102.6450222,98.56538822,101.3951474,97.88949744,98.1644226,102.7563224,101.8036031,98.10249133,99.77971688,95.16697187,102.0898671,100.5764651,100.4781243,105.3296461,99.33737845,102.7005046,105.6004057,100.4014994,103.5832282,100.6344962,100.702622,97.98655046,95.51415989,96.56775576,101.8779191,98.66633017,98.13065207,97.40238625,100.7376327,102.0540315,95.77144326,100.0626425,100.2917322,102.4378769,101.6003458,96.40108614,99.09888175,102.933847,97.39865123,104.1561016,97.2205251,96.19978775,101.7506849,102.2964627,97.04380386,101.1483136,101.7754829,96.26390131,103.5860312,102.2495453,104.1093259,99.37867714,100.9302521,100.3966872,104.7886114,94.96093293,99.51292524,97.5010322,98.42543829,101.1146564,100.9207373,98.98568976,100.6234275,101.0554193,93.38798784,94.67099507,101.5517332,99.79838666,103.7996906,96.23076891,101.1492412,100.5110684,107.8068736,99.65315011,100.8601977,100.0347808,94.68376631,96.6926135,102.2183632,101.4632207,100.3282399,104.1478803,97.43170504,100.8537209,105.2114154,98.04156975,98.99461273,97.34286449,102.0637956,99.06876958,97.02384501,99.21470468,103.1138926
7,101.3065253,97.79664396,96.99194291,102.8036156,100.5863366,103.9709896,99.39778541,102.2563836,97.52144617,98.97071985,102.6950447,104.7840405,99.43509545,96.25055181,103.8348654,96.05624832,100.4928039,100.9189449,100.7526439,99.75895404,102.7382244,99.69432311,98.52143348,99.43645554,96.47972716,97.6973091,101.8351389,100.4082602,99.75425513,97.43365967,99.53108942,102.5253333,100.1572684,96.69403084,95.79696216,100.5220428,99.72567757,102.9800119,97.6191538,99.82248775,96.84690037,97.76158278,97.80736565,99.37615022,99.18251544,98.81000027,98.01094772,102.9023664,101.2758452,100.8510731,101.5207632,101.7045759,98.15337222,96.72744047,105.5384136,100.5647403,105.4351712,100.0103208,96.81716412,95.24088305,99.83846219,99.69376664,96.88825615,94.70911677,97.26371435,92.32739705,101.1345855,101.1079686,104.0729967,96.7641434,102.1363416,99.05701543,103.7979811,105.0047203,97.12613924,103.4994053,101.2791154,94.90542519,102.1953555,99.61021637,95.85068645,96.39245507,96.98523298,97.92517077,98.68159402,107.2926985,102.6981965,98.57416766,99.84483925,97.05526353,100.238108,102.8403006,101.7183629,98.30553749,101.7363149,101.725949,102.7246156,100.1804751,99.85483926,94.96492081,95.42380285,100.6090557,106.4750583,101.6186548,101.8902902,107.7241489,99.16700146,102.8857614,98.54319909,101.1352412,97.42012319,99.64387878,102.7122604,100.1207535,97.56561734,100.2236807,96.81470286,101.7636935,100.0825157,100.0004827,106.8682162,98.80518999,103.904304,104.9334633,102.711217,101.9747334,99.6316843,99.70496847,98.50820144,96.33324497,96.68375562,101.8122367,98.53710178,100.3674314,96.0295162,101.9641262,101.8343908,96.36536199,99.03720729,98.77210063,103.0627551,100.6349392,95.19958004,99.87455847,104.5535004,100.807735,104.8254687,97.8110461,97.69493549,101.956087,102.4249118,95.73194715,101.6053801,100.5820524,97.15407355,103.2673814,103.3118,104.0254321,99.68599551,100.990567,101.2391263,103.6674423,95.50929764,100.0488916,96.1708252,98.24386942,99.51249545,102.5768663,99.87430848,99.66635554,101.8844198,93.72474296,93.00831797,101.1468562,98.27398638,104.2459932,97.72052056,100.4202259,102.1929009,105.8634385,99.68540301,101.9750766,98.55914625,95.20126976,96.09671767,102.3244545,103.2255528,99.62273121,103.0292918,99.96207518,102.4550944,103.9741933,97.49831225,101.2778412,96.25556943,103.4555207,98.50865481,97.03226844,99.4581349,102.7349475
8,102.356434,98.55104461,97.26667889,102.4662132,100.7116811,105.5918678,98.01779427,104.5301144,97.35750413,101.1507176,103.6286245,105.5968114,100.5858965,97.54436429,103.4629233,96.11784977,99.01351568,100.3690187,98.35422214,102.3631631,103.2252261,99.44527064,100.1883441,100.7046457,97.15340751,97.72169639,102.6179679,100.2366501,99.61634008,96.84172419,97.97747516,100.866711,100.4867009,96.27915877,96.75182061,100.4684682,99.85384011,103.3065422,97.26470977,100.4367596,98.07535748,97.40650231,97.28661592,99.12380873,99.33828068,97.60685848,97.65298872,103.5408109,101.1751507,100.1596563,101.3732966,104.4275314,96.12541874,96.42219918,106.1082888,101.388019,105.4650626,99.05734599,97.15514513,95.14615715,100.3428248,100.6765173,94.5602677,97.3278776,97.28821,91.98580698,100.8230229,102.0738428,103.4699612,97.41427723,101.6649351,96.33433611,101.9987236,104.0321,97.39436303,102.297316,99.730951,95.99774931,104.2289472,98.63161061,96.84121546,96.38367456,98.32921152,98.90767397,99.04945528,107.166434,101.9939526,98.474556,100.9441794,97.98468697,101.0038508,102.7361139,102.5658906,99.57602539,102.9570225,102.860502,101.7611825,101.7766953,100.8502139,95.87713871,92.72800839,103.593893,106.9689795,101.2684579,103.3938973,106.4034236,99.3265851,104.6578681,100.3472166,100.6273584,98.49010121,98.73083724,102.6045749,99.75301108,95.02781569,101.3858626,97.32678986,101.2350636,100.4398084,98.72278644,108.3882795,100.0333629,102.8126545,105.5310836,103.5818042,101.0846723,98.83258764,99.74334415,96.79418974,97.46216334,96.94539352,102.2897072,97.19808546,99.1009935,96.47654646,102.6868881,102.6460738,95.98067302,97.92514392,97.56631336,104.3903627,102.9250362,95.35449745,98.9984471,108.8211719,101.1165217,105.2343695,98.64091066,99.12515205,101.5459189,102.7976934,96.53866969,99.7505062,100.3166271,96.72491619,102.609799,102.9995445,105.1645466,99.48724156,101.2593431,103.5667667,103.6722517,96.74522038,98.76315366,96.39668695,98.09633966,99.15702899,102.6484488,98.69872684,99.08190738,104.2001428,94.80113524,93.95186371,99.20314097,99.10674887,103.3461478,97.60236424,101.6461979,101.7671364,104.5456364,98.68804641,102.3316755,95.93064823,94.7305991,95.04674442,103.707778,102.2768165,98.88149723,103.4440935,99.65394638,100.7856579,102.2361942,98.87574313,102.0633526,97.77186894,104.3665164,97.54377167,96.63197121,99.59769421,104.0408092
9,102.9856257,100.3531796,97.41246383,103.3070588,101.9419531,103.5783083,98.42917224,103.8280844,98.1404193,102.2596489,104.9216595,105.7248429,101.0641193,99.51343457,101.6741211,96.03209184,98.93411658,99.64311371,99.7113416,103.5850467,102.80902,97.91204657,101.0549144,102.4924409,97.71957557,97.718246,102.8960204,100.9841628,98.67919134,95.41246186,98.77408617,101.8396195,102.9739893,96.73611564,98.6040145,100.8374171,99.31271187,104.8131252,96.95660853,98.62316936,98.11570567,99.92127409,96.22176393,100.7349319,98.06391432,96.83397263,98.47888119,104.2458506,102.4744629,101.7841073,100.6574173,105.6722269,94.31570969,97.01799944,105.5740261,99.37907534,105.3942122,99.41407704,96.10742783,94.31144897,101.5270636,99.96406215,94.47207885,97.87266012,97.98889646,91.23528878,102.9376905,101.7410846,102.8215983,96.415371,102.0765718,97.0656789,103.0127106,105.0154685,98.0288908,101.3210381,100.7813067,95.58858672,106.611574,99.49895858,98.45459981,97.56246559,97.90641328,96.84463679,99.51830512,107.5664009,102.179743,97.36975037,100.3755266,99.93167789,100.8351047,104.6089485,102.3063051,99.94428946,103.4788006,103.6690045,102.9376898,102.8119043,101.0739491,94.94348447,91.74689084,101.9423302,105.7710989,98.94118991,104.4278961,106.1203002,98.24146914,105.5649328,99.74040877,101.6482807,97.10660664,100.2063107,102.448415,100.5877099,93.92128087,100.4688157,97.17071381,100.588918,99.80552709,98.86880484,111.2410744,98.17503504,103.1119457,107.3029773,104.0248485,102.370929,98.05568229,100.7304618,95.5184491,97.55174852,96.40303421,103.6792541,98.48912513,100.7414094,97.30851902,100.9348409,101.7067258,95.50489054,98.42948212,98.23692481,104.6089072,103.6382374,94.25630971,98.31455061,108.5053043,100.0149397,107.2009699,98.79506605,100.1859047,101.1654387,102.7329341,94.68973459,99.96181366,100.9989433,95.11582198,102.1502301,101.3103522,103.8059359,100.6999863,99.6390762,105.9608343,102.6368837,96.68722066,98.77325937,96.1839329,96.56802385,98.51013444,101.3250855,99.22247526,96.88177967,104.9495696,95.39341514,92.56535689,99.88500949,101.6145625,104.6555464,97.84942689,100.3971094,102.8473268,104.8491863,97.04578635,103.0570946,93.60367474,94.44366099,94.18743132,102.8041473,101.6904174,99.00451442,100.9725513,100.1571469,101.9599995,101.4292389,97.21439449,101.4856094,97.82976085,103.591632,99.59299998,96.542388,98.37008583,105.8241243
