step,Path_0,Path_1,Path_2,Path_3,Path_4,Path_5,Path_6,Path_7,Path_8,Path_9,Path_10,Path_11,Path_12,Path_13,Path_14,Path_15,Path_16,Path_17,Path_18,Path_19,Path_20,Path_21,Path_22,Path_23,Path_24,Path_25,Path_26,Path_27,Path_28,Path_29,Path_30,Path_31,Path_32,Path_33,Path_34,Path_35,Path_36,Path_37,Path_38,Path_39,Path_40,Path_41,Path_42,Path_43,Path_44,Path_45,Path_46,Path_47,Path_48,Path_49,Path_50,Path_51,Path_52,Path_53,Path_54,Path_55,Path_56,Path_57,Path_58,Path_59,Path_60,Path_61,Path_62,Path_63,Path_64,Path_65,Path_66,Path_67,Path_68,Path_69,Path_70,Path_71,Path_72,Path_73,Path_74,Path_75,Path_76,Path_77,Path_78,Path_79,Path_80,Path_81,Path_82,Path_83,Path_84,Path_85,Path_86,Path_87,Path_88,Path_89,Path_90,Path_91,Path_92,Path_93,Path_94,Path_95,Path_96,Path_97,Path_98,Path_99,Path_100,Path_101,Path_102,Path_103,Path_104,Path_105,Path_106,Path_107,Path_108,Path_109,Path_110,Path_111,Path_112,Path_113,Path_114,Path_115,Path_116,Path_117,Path_118,Path_119,Path_120,Path_121,Path_122,Path_123,Path_124,Path_125,Path_126,Path_127,Path_128,Path_129,Path_130,Path_131,Path_132,Path_133,Path_134,Path_135,Path_136,Path_137,Path_138,Path_139,Path_140,Path_141,Path_142,Path_143,Path_144,Path_145,Path_146,Path_147,Path_148,Path_149,Path_150,Path_151,Path_152,Path_153,Path_154,Path_155,Path_156,Path_157,Path_158,Path_159,Path_160,Path_161,Path_162,Path_163,Path_164,Path_165,Path_166,Path_167,Path_168,Path_169,Path_170,Path_171,Path_172,Path_173,Path_174,Path_175,Path_176,Path_177,Path_178,Path_179,Path_180,Path_181,Path_182,Path_183,Path_184,Path_185,Path_186,Path_187,Path_188,Path_189,Path_190,Path_191,Path_192,Path_193,Path_194,Path_195,Path_196,Path_197,Path_198,Path_199
0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1,97.83826538,99.79913071,99.25030643,101.8002357,99.26339979,99.24274798,100.665797,100.1913455,100.0872683,99.37617471,99.52475258,101.487894,99.31805527,99.86634587,100.8600009,99.65319819,100.0569306,99.91660359,98.97895112,99.49289728,100.8210434,99.03496146,98.50932018,99.62076697,101.0937281,100.7463886,99.12146289,99.99002893,100.6984611,99.27354343,99.36884273,102.179024,100.4844586,101.5250178,98.761408,101.2477044,100.4334602,98.41791626,100.0553589,101.8195863,101.0108009,101.0473463,98.62835799,99.44133882,100.7484832,99.70167678,99.57901926,99.90993729,100.5884218,98.71115765,98.10771942,100.6573519,98.92235127,100.0054626,100.2842162,101.117112,100.74888,99.68254787,100.4797098,100.7820042,101.9729236,100.7555566,99.77742172,98.93667367,99.12883898,98.71824243,100.4429279,100.9648185,99.44553953,100.8437924,99.89063497,98.03096594,98.23960482,98.72994756,98.9391799,100.0022033,100.5507309,101.2507859,98.67185339,101.0728682,99.30594177,99.18349193,99.09209303,102.2832146,101.1560503,100.790216,100.0617541,100.1248182,100.7583932,98.7371199,99.65017835,102.5974044,100.0511784,100.3244715,99.07300989,101.6308749,102.2330251,98.09843823,100.7744993,100.617145,98.54368764,100.4802446,98.57381828,100.7206487,99.46121508,102.0573975,100.9350506,100.4011344,98.09040204,101.1173764,100.2001213,98.05237721,97.89383367,100.8798875,100.182438,98.71715477,99.12446535,98.80440221,99.80450064,101.3190773,98.84450307,99.41016712,100.3311429,99.84064812,100.2194244,99.6124607,100.0382716,98.81043101,100.3732008,99.86870442,99.73008162,98.97657336,100.2461586,98.92396819,99.8723595,100.5635281,100.413777,99.86046562,101.1760049,100.6247652,101.1505368,100.638177,102.8215091,99.95544787,100.8392467,98.50965412,100.2277927,101.1738441,99.19880735,100.2172782,98.2721253,99.44634607,98.37969731,100.6772139,99.51601086,99.73772316,99.38028069,100.2386465,99.84749448,98.27912901,101.2456813,102.6775129,99.9377347,98.52820909,98.61092288,100.4951235,100.1712503,99.10213456,100.9196968,100.2185817,98.81245119,99.05917143,100.8873516,98.55042857,100.4676732,99.7318942,100.0733336,100.4669925,100.7266132,100.2174084,101.198831,100.2239754,100.8299879,100.6318675,100.6044798,99.5154069,101.0566786,99.81713477,99.72603315,101.5664241,101.4542544,98.33336549,98.51695315,99.68857496,98.54995008,99.06126752,100.0872355,98.88013524,99.46284916,100.2535884
2,96.52808349,99.47025456,97.77606,101.1458352,99.3066857,98.09247275,102.2843147,100.9080536,98.61089318,99.21062942,100.5449948,100.712106,98.85284379,100.2730862,101.1765241,98.4820871,99.74234998,99.94788389,98.30837361,98.72911117,100.6445276,100.1633027,98.39051207,100.0326389,100.1854036,101.9454624,98.07523842,98.93867463,102.0570302,98.42301753,100.2563955,101.798034,100.1755077,101.3965782,100.0771737,100.1044758,103.1500537,97.75827168,100.4865463,102.4893631,101.4433349,101.0641857,97.74447842,99.04227901,101.051221,99.54887011,97.99684071,100.3411112,101.8634681,97.49825995,97.1144032,98.53197604,99.1484269,100.0300867,99.808185,101.4028575,100.7791217,97.91890369,99.60609131,100.5091614,102.2578045,100.0992711,98.77458195,98.66872699,100.6005293,99.13361728,99.93729044,101.0561165,100.8251227,99.59556538,100.4415211,98.36193201,97.42832278,99.1227945,99.04731544,99.30346617,99.72812404,101.5239887,99.76911314,99.70123743,101.3238359,99.91783568,98.93160514,101.8924072,101.76673,101.0929973,99.55638196,100.8269262,99.38890108,98.36226775,98.94479866,103.0134563,101.6341534,100.6215797,99.22796566,103.5398869,103.3470539,97.33807004,101.9195405,100.6211616,98.78897465,102.3123653,96.87852273,100.3030442,100.0370376,100.8913459,100.5313531,99.39200691,98.1284105,100.7094576,101.5834154,96.48014867,97.43058703,100.7622063,101.1479241,98.51523111,100.1197796,98.17595247,99.75099014,100.3453698,98.24753933,99.53999184,100.0323433,100.3886255,101.5571631,97.13477037,100.1672645,97.8184364,98.23379506,100.9060287,98.55211362,97.20986751,99.76565451,99.84988216,100.3742608,100.0266372,99.75160866,99.41985422,102.4061093,98.80251903,100.8400012,101.3037477,102.9960207,96.86448612,99.85450458,99.01652197,98.13531984,100.4313754,98.64220272,99.50448382,97.14476762,100.0158035,98.97302773,100.8577504,99.90697538,100.8698322,99.99465809,99.43019196,100.1812287,97.791834,101.3129553,103.3433469,100.5953296,98.83223671,98.13832471,99.79510588,101.0455048,98.09125907,101.5699239,98.71652617,98.88733174,99.18263798,100.0582724,98.68785272,99.17539577,99.4126137,100.5987165,99.75985404,99.39169377,98.79034091,101.630725,99.42081282,101.4031039,101.1717737,99.12672271,99.57554297,99.74384317,99.56415951,101.1617319,103.1555792,102.1787598,98.58936054,99.0126719,100.4742377,99.04136978,100.4268717,99.65347661,99.25830101,96.40099418,98.49639229
3,95.91629583,99.38135265,97.65898929,102.8142858,98.02225453,97.60505434,103.8063533,102.1411603,99.17037681,99.95168182,100.8908375,98.87348348,100.1184986,100.7279578,100.7570623,96.59266885,100.4988118,99.95208048,99.24189609,96.90552108,101.1598978,100.7918446,97.55518254,99.36463853,100.1054004,102.2575182,98.24593791,98.89771688,101.764753,100.1260538,101.0167678,99.92392196,98.3583956,101.0530287,99.68073993,100.0079423,105.717104,97.72339634,100.0150112,104.1571179,101.4864986,99.5154827,98.01086679,99.06743885,102.0373806,99.43219661,97.77688773,100.0156382,103.2997949,98.55089484,96.47620111,99.46087982,98.18969536,100.596509,102.017471,102.2981698,100.3142657,98.31255723,98.05507592,99.75440506,101.2021852,101.4354099,98.25189494,97.97210717,100.1458666,100.5807549,100.2102188,99.26937133,99.49270394,98.02585787,100.5330938,97.93882196,99.41345658,100.0981353,98.35051008,99.47769831,101.1333504,101.2627327,98.82979261,99.23624832,101.6688895,99.99892004,99.35027451,100.6561269,102.1291505,99.96875285,100.4090465,102.3067713,101.5919592,98.62341061,97.21165615,103.1688818,101.6421556,101.4067146,101.4172607,102.6963016,104.3897108,96.04609312,101.6674759,100.0358052,98.58622775,101.6601243,96.66731696,97.9386458,99.16678302,99.494496,100.6077956,98.94050741,98.71493025,100.4037988,101.917011,97.13794583,98.92985116,100.1260096,101.8134617,96.64146929,99.30472453,98.26667511,97.76758608,101.0569596,100.4457861,100.4565879,99.37691915,101.1616524,100.9808833,98.12675073,98.21296811,96.65813801,97.99276466,99.62527623,99.61258488,97.40948052,99.67768238,99.65642102,98.41347271,99.30689067,99.64861194,101.0323454,102.259709,99.69553638,101.9734628,101.405177,102.6283074,95.7780371,100.2067983,99.35765818,99.0134543,99.28119293,98.2376184,99.24831574,96.53194728,100.9865288,99.20701173,99.07363165,99.4208182,100.7899438,98.29002886,98.75328364,102.4978192,97.6604913,101.3925707,104.9802408,101.2983568,98.99715339,98.29664044,100.8645164,101.1643779,97.23992256,102.7712783,98.97577477,99.10518517,99.61983908,100.2909399,99.57801522,101.0289684,98.81148017,99.84774463,99.31352209,97.32134221,98.40200813,98.94660647,98.08512482,102.1243439,100.4118639,97.76147911,98.88522515,98.0595674,98.5837827,100.7851242,102.3492038,102.6101632,99.92002341,99.19044298,100.9497385,97.54333371,99.39886746,98.65471127,100.6541019,95.67362205,99.51254762
4,96.23410386,99.92700405,97.56844204,100.4872459,97.66859888,96.40579243,103.5171321,102.5691135,98.44628183,98.73639205,102.3953301,98.5291942,99.5936339,100.7279309,101.2376463,96.05147684,100.0715495,100.270883,96.73921853,97.8514719,101.8246693,100.1556407,96.61246953,99.35379761,100.7120502,101.7925196,99.1133685,99.0452465,103.5091378,99.59103023,101.4084084,99.57389318,99.10591305,102.698065,98.72790788,100.794099,105.3469095,97.23698631,99.59524003,105.0869126,102.1348808,100.7801363,98.01349899,98.93300884,102.7892376,98.9593181,99.22471135,99.51203148,103.7959826,99.91403873,97.03734596,100.8600135,98.13905351,101.8777959,100.6862791,102.4340943,100.6654248,96.61224472,98.05420453,101.3330241,101.179712,100.6718744,98.35041333,97.92729028,100.0726561,101.0003743,97.49025195,98.81704624,100.4171834,97.34853092,100.8753412,97.3717772,100.3661926,100.2834419,98.58185227,98.29871959,101.9123383,99.65061863,98.56815443,99.10377357,101.2059021,97.53226772,100.3231183,100.8736097,102.2534517,101.3389247,100.4567469,102.4038267,101.2870233,98.88995193,97.26629061,103.4311734,102.329814,100.9620577,102.4363192,102.0143157,102.687604,97.38468741,102.244304,100.5940149,98.99920886,101.4022213,95.68962086,98.68856371,100.8311978,100.3224093,99.52326143,99.75885773,99.00447636,101.7840248,101.3805556,98.22626737,97.2513994,100.2729726,101.540321,95.90223327,98.23484595,99.00920369,97.11391671,102.324562,101.2518157,100.2339372,98.98313358,100.0814187,100.9039515,96.82751706,97.80164895,97.88360277,98.95654339,99.63458217,99.7491112,97.22408894,99.79075176,99.42521722,98.28783217,100.1409106,100.9754294,101.9476074,101.5222484,99.49520754,103.6240039,102.3296663,103.1838908,95.3299553,101.2907351,99.41041092,98.20069334,99.91233136,100.907021,100.1915551,97.41355866,100.6867249,98.08790299,98.96730238,97.42453323,101.558843,99.67442536,98.35003433,103.5181797,98.57439594,101.2834948,105.0234732,102.8185717,98.03678215,97.64155132,99.80148579,101.369593,95.89648632,101.919372,98.39511375,97.64337645,99.51868363,97.89724501,100.4199161,101.6419711,100.3775917,100.1421554,98.93370261,97.07023058,97.07410286,98.83115014,98.32548703,102.1608052,101.952229,98.02050883,97.63326668,98.56448996,99.04179351,100.3328858,101.5917853,102.8822229,100.8602807,100.1986114,100.189013,97.96179549,98.37786223,98.22841858,100.7008122,94.21562864,100.3686404
5,97.62209242,100.1471144,97.82564363,99.86042238,99.3825636,94.91521448,102.6898513,102.7667695,97.87702825,98.15166351,105.2264601,97.29366782,100.7943092,101.6157438,100.5152564,97.64189794,100.0609104,100.8888419,96.62795006,97.86538611,102.2306263,99.20154881,96.94503928,98.92561413,101.2531293,102.9781374,99.50111633,99.24756067,102.6214082,99.72446003,101.0805684,100.2615383,99.85058115,102.1626109,99.17309687,100.7260366,105.4469231,96.77638179,101.5324663,105.8147406,101.0039037,101.711043,96.38464427,99.55805086,102.3174189,100.0769876,99.73924497,98.59190152,104.5937554,100.3437907,97.29350873,100.415747,99.27132204,101.9003572,100.7731438,102.5711175,100.8376915,95.20388374,98.91036946,99.6354603,101.8947035,101.3884279,98.28635681,98.40598379,100.9354296,98.46547329,97.916973,100.787147,100.781801,96.40151187,102.3821896,98.63887412,100.6269803,99.70780432,98.08295093,98.17255738,100.5464397,99.74098208,96.3373434,98.12408739,100.5610183,98.45438831,100.2126275,100.9789486,101.2645821,102.349089,101.2579713,101.1172189,101.7201957,99.35669588,97.23147694,104.1149688,100.6514826,101.2784711,101.3856191,100.8448886,102.6618112,97.05374494,101.7868579,100.2624059,97.29334649,99.50243358,96.40543907,97.18448523,100.7836047,101.3093495,98.30516516,100.0789698,100.702021,104.114462,101.3416679,98.90798083,96.68402118,100.1294609,102.0533324,95.6226445,98.79753743,99.09644919,94.92732622,102.4994977,99.12475041,101.4820022,98.59841843,100.1384794,100.5685081,97.31180818,98.0415137,98.14596007,100.1976273,100.6883585,100.3536493,97.29487595,100.1376976,99.41464889,98.08897916,101.2565527,101.2773338,102.2090658,101.2012491,99.20053165,103.7847428,102.0563078,102.8797634,94.70051694,101.8608493,98.22640546,98.21484112,99.44393497,100.9735142,99.67178687,96.51179664,99.74264897,97.98611695,100.196645,96.8565068,102.2677506,99.71169851,98.44307414,101.0109151,98.51940988,102.3453954,104.4399371,102.5357939,98.95029437,98.20228939,99.68640956,101.0198805,95.39474769,102.7477343,99.66509863,97.47453041,99.12619415,97.01484241,101.6148303,101.8948523,98.08735269,100.5404741,97.55221294,95.49385681,96.23850204,99.13943215,96.94183422,101.5093436,101.3248896,98.94513307,98.61118041,97.26703152,98.58639177,99.21728982,101.765083,101.5971485,101.0105568,99.70959498,100.8154569,99.59848316,97.32316077,99.03391869,102.0541655,94.38922713,99.23963829
6,99.48278145,101.09109,98.73237957,98.99223599,97.54590091,93.4788511,100.8336171,101.4090047,98.07360524,97.86910279,106.2683773,97.54179483,100.8087523,103.4849938,100.4388591,98.64088582,100.5091681,101.0655773,96.97959874,97.77085815,103.5366855,99.1516121,97.37320909,99.36523272,102.0172118,104.5270122,99.24158695,100.4498285,102.3980597,98.57853564,101.444554,99.12481599,99.44977956,105.0061878,99.70033866,99.71733768,106.8930543,96.82567781,99.81890982,107.44863,102.4264297,102.4039039,97.46628848,97.52936903,102.043008,98.88764951,99.27355109,97.3988006,106.3865636,100.6378476,98.7632376,100.9297577,99.61634392,101.7917426,101.5362206,101.6855465,99.98205384,94.24623379,100.513416,98.72681955,102.3125011,101.3369992,97.63474194,98.4435674,102.1357667,98.49808941,99.68773651,101.5691752,100.0245007,95.42530021,102.837203,99.75353861,100.3107543,100.5347114,98.080471,97.84054205,100.5209301,101.0182545,97.59145617,97.92360617,100.0674925,97.43620434,101.1694938,100.6947944,100.7084418,102.4924178,102.8006301,101.5102593,100.241194,97.90127669,97.08027853,104.2417083,101.0003322,101.6929879,101.1520953,100.1346559,103.1700031,97.54492048,102.1705661,98.99096375,97.12315787,98.47310954,95.32466867,95.90758939,100.1355152,100.8942693,98.72070501,99.25747896,100.6560509,103.1215013,99.23066658,99.17719008,96.75842767,99.91798294,103.3942325,94.74361865,98.93402528,100.7290146,94.69711998,102.0868914,99.10956262,100.1987429,96.99869761,100.6875106,99.18209601,96.12155805,98.24241898,97.17723404,99.30949202,99.79938888,100.5096123,97.19983319,100.8711187,99.33284985,97.36998501,101.6970828,100.0366903,103.1619797,100.8814061,99.59441966,106.5220323,102.1865612,101.6067626,95.28753431,99.77462591,97.58697251,100.5085001,99.52022807,99.48449316,99.2372673,96.83382759,98.82610341,98.27728173,100.1878106,96.43644541,102.7320142,97.58025949,97.01148462,100.6175329,96.92421705,101.3027511,103.5444917,103.2044937,99.12818009,97.93424416,98.00861386,101.2953155,95.50117047,101.8195765,97.70995516,95.717217,100.1841779,97.01736219,102.300367,101.1067956,99.45783019,102.311396,98.10011514,96.7573585,96.12148321,99.27635244,97.23350428,101.455615,100.7825732,96.47031623,97.55621864,95.47081418,98.81346511,98.71381749,102.9967399,102.4055886,101.4753471,100.6239445,101.0757719,100.6859097,97.4224015,99.26725188,101.6916208,95.16361929,99.81746917
7,100.0039346,102.8611055,99.2935588,98.17699997,97.55066879,91.3363421,100.2704054,101.5415008,97.3262522,98.2477902,106.598587,98.07991381,102.8071965,104.6841429,99.74687024,98.5356671,100.0150962,101.2932778,97.22648584,99.50405059,103.5654302,100.2411261,97.79437752,99.91330096,102.1369278,103.6585148,100.7302963,101.8611439,101.8305836,97.80758188,101.134111,98.40266913,101.2593499,104.7482337,101.7079068,100.7517472,105.3043688,96.3378388,100.4996409,107.6304433,102.0629858,103.6369192,96.62903819,97.67345848,102.0120295,98.0500455,98.95277431,97.82085594,105.7399618,100.6947262,98.95693854,100.9490549,100.7461209,102.4331876,101.5526124,100.4090898,101.3853821,94.48196889,100.0861619,99.0428191,102.4194671,102.031919,96.44775726,97.91787014,102.8452081,98.57926843,99.32913618,101.5104608,98.80039871,96.08795161,103.1413696,97.84293552,100.3245687,99.03441329,99.8537367,98.73244132,101.0120128,100.1130053,96.55787743,98.03851195,100.1580709,97.75279391,101.0983493,100.9073577,101.1876728,103.0550223,100.7989345,100.4875087,100.4776444,96.83990888,95.8421953,105.1278445,99.91216759,101.9752686,101.1339076,101.7318439,103.1525279,97.57933568,102.63257,99.18702002,97.71415618,98.88081926,96.39355139,96.55915448,100.5985191,100.2343314,97.73970064,99.02893221,99.73106045,104.2404751,97.71401961,99.13858212,97.78068762,98.65395651,102.393615,95.0854449,98.86062677,99.5312012,94.43531958,103.0402527,99.34561902,101.022377,97.28189407,101.3223195,98.83292811,96.46488571,99.25009072,98.74785699,98.58676985,99.07386961,102.0800983,97.2210159,100.9276155,99.18519642,98.14302416,101.478129,100.794407,103.657026,101.6711717,98.65648467,105.5233462,102.0306897,102.7909075,94.98334218,100.4630095,96.44319695,101.3196986,98.42042562,99.68709752,98.29932873,97.52261954,97.24400579,97.77328182,100.3770563,95.2604966,102.9502219,97.53687128,96.94621111,100.8671734,96.69730271,103.7925769,102.9590708,101.6682077,100.2885706,96.87993383,96.28783621,99.86315899,95.97676815,102.3529012,98.78042226,96.06253747,100.422176,97.96029923,103.8325189,98.47055073,97.04827076,101.5992177,97.98378081,97.32213018,95.1478216,98.86516786,95.42160916,101.3431271,102.2095543,96.86480712,98.92256342,94.46608126,97.68458406,99.48714268,101.908744,103.3556498,102.1203568,98.42980245,100.4963085,100.2456853,97.39741928,100.1422473,101.2008046,94.94636866,100.5636693
8,99.49179854,103.0431208,99.90245129,98.01408551,97.35617415,91.18936816,100.7170001,101.4951078,96.54890979,98.21358039,107.535662,98.8538239,101.6907873,107.1859324,99.76418816,99.09625344,98.92869219,102.9196477,95.63456822,97.89363016,103.8508781,100.5028175,99.05469847,99.55496526,102.4182459,105.5921837,99.04513614,99.07428466,103.0235142,97.09664494,100.396674,100.6982799,102.0283787,106.6515213,101.6266808,99.6547673,104.5332047,97.10780543,100.5288034,107.6269182,102.2942193,105.0324153,96.59826299,97.07585024,103.0618934,96.26403424,99.41401698,97.73237476,106.9151055,101.7091797,100.3478683,101.2975911,100.1053029,101.6238128,102.3833318,99.81749147,102.5471422,93.12168973,97.95834915,98.22608853,105.5044356,103.6574032,97.71981922,98.67499428,102.9802439,98.19511564,98.6136077,102.7120465,99.0303782,97.59134095,101.8253645,95.0815908,99.54859258,97.50705191,99.80044813,98.96417727,100.512699,101.3541631,95.27532113,96.15610808,99.42302333,97.94259087,100.1832934,100.2324107,101.5885308,104.3475906,99.07405232,101.3640278,101.0762702,96.60427047,97.08587456,106.2138221,101.5290397,102.0443394,100.9221636,104.2767718,102.3497225,96.81892589,101.5669292,99.57336186,97.46214304,99.59501572,96.517992,97.57030993,100.6463913,100.2724574,98.06957063,99.45113657,101.7497024,103.7184228,96.682844,98.08544031,97.50835646,97.3148205,102.7341345,95.72628386,98.48975358,99.03450521,96.60157562,101.5974731,99.04934891,101.4076942,96.38973056,103.1628526,99.53085486,95.68678954,98.46506877,99.06336836,95.73832711,97.825343,101.9722729,97.43552257,100.8704049,100.1146181,98.37803716,99.69900076,101.1957996,104.1082731,99.89741641,97.58799029,105.1424757,103.2660013,101.1819681,95.24252019,100.7688929,97.24484764,102.7800489,98.35323968,99.29405576,98.52102711,97.14978281,97.0896625,97.45813504,101.380041,97.02427986,102.0209865,98.08728255,96.90724592,99.72255897,96.77476666,104.9774406,102.6173032,102.2644901,100.8783578,95.64085281,97.26582276,99.31472635,94.58336758,102.4234573,98.619015,96.87919808,101.3100024,97.51771675,103.369036,100.9629787,96.36046,100.0472092,99.17891865,97.40182231,94.39024381,98.70625339,95.74463746,103.5851309,101.3858863,94.88668867,99.4920938,94.15751596,98.05396259,99.61522493,102.859961,104.419996,101.1770194,98.75268004,98.31411891,99.49776736,97.70707414,100.9719445,100.5866293,95.11824947,100.9907113
9,100.1045014,101.4817932,98.24953181,95.29681011,97.21038066,90.27211497,101.8820946,102.7897133,96.99028226,98.01937314,107.2587347,100.0515423,100.749831,108.0826255,97.85039256,99.41794093,100.3070285,104.7443101,95.46696726,96.82274794,104.6738212,101.2475814,99.08510573,100.3160915,102.0028599,104.1209562,98.19097376,97.73633521,102.5341715,98.45378152,100.5214952,100.0205703,103.4071254,106.7110212,101.4498286,98.11315113,106.0310138,97.03696455,100.0361429,107.9970424,102.2026084,104.7212604,98.04853997,96.77332994,101.190599,97.69731072,98.82502564,97.18258219,103.9049369,100.5204513,100.5245932,101.3494,98.84828895,102.9383483,103.0954869,101.1594306,102.3186316,92.30629077,98.01618449,96.64474489,105.3548288,103.9664267,97.47350733,98.64967264,104.3883887,96.86381482,98.94239091,103.0639812,100.8784249,98.93543292,102.3484046,95.24700566,99.05548685,97.86345994,100.4275469,98.50824118,100.0479337,101.868504,95.06265029,93.6856098,99.88603869,98.66762246,99.52001392,100.8308292,100.1179936,103.2501875,98.9854185,102.4340505,100.0889677,97.30804965,95.12410517,106.2031632,100.4664878,102.9299712,104.2038176,102.8947415,102.2630186,96.69985747,100.9770254,97.42624371,99.1702616,99.40100375,96.39662397,96.87602981,100.4432261,100.5316545,97.9955045,99.48921839,102.3214063,103.3320811,96.85005299,97.95475466,96.30312113,97.1653583,102.535047,94.10888634,98.10596544,97.98198482,96.15064506,102.2984157,99.22572565,98.208369,96.74920905,103.605672,100.8572735,95.3412999,98.28728623,98.15726497,96.14310016,98.77045221,100.6275196,98.76532725,101.3500728,99.81315544,99.07429056,99.84888427,100.2620331,103.1622357,99.15554899,97.03946147,106.1645938,103.1076607,101.3723296,94.32633424,99.97460057,96.87969641,104.5214979,97.37631574,98.01311823,99.61503558,97.02069383,95.66495885,97.20423119,102.4667326,97.28686789,102.9570045,97.95960278,97.1286485,99.91455702,96.39374658,106.8019077,103.9737443,103.2056653,101.4973289,97.23254631,97.79882388,98.06458805,95.75623821,100.8961216,99.0930414,97.3701137,101.3397281,96.61947821,103.9946749,99.42658909,96.61155818,99.9800117,100.0118321,98.20910274,96.05026284,99.26285146,95.51201508,102.543753,102.4491276,95.20715653,101.3428625,93.82812758,96.91064893,98.85365167,104.3975824,105.3607513,102.2493303,99.87021881,98.80463966,99.00482165,97.76487986,100.9042142,101.1646192,94.97294239,102.7390967
